"code","title","umbrella_code","founder","main_category","category","has_interest","is_hedge","currency_type"
GLC,AKTİF PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Aktif Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
FJB,FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON,Serbest Şemsiye Fonu,Fiba Portföy,Hisse Senedi,Blockchain,true,true,Tümü
KTN,KUVEYT TÜRK PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU,Katılım Şemsiye Fonu,Kuveyttürk Portföy,Borçlanma Araçları,Kira Sertifikaları,false,false,Türk Lira
KUB,KARE PORTFÖY DEĞİŞKEN  (DÖVİZ) FONU,Değişken Şemsiye Fonu,Kare Portföy,Değişken,Değişken,true,false,Döviz
DBB,DENİZ PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Deniz Portföy,Borçlanma Araçları,Borçlanma Araçları,true,false,Tümü
IUF,İŞ PORTFÖY YEDİNCİ SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,İş Portföy,Döviz,Döviz,true,true,Döviz
MET,GARANTİ PORTFÖY METAVERSE VE YENİ TEKNOLOJİLER DEĞİŞKEN FON,Değişken Şemsiye Fonu,Garanti Portföy,Değişken,Teknoloji,true,false,Tümü
OTK,OYAK PORTFÖY BİRİNCİ KATILIM SERBEST FON,Serbest Şemsiye Fonu,Oyak Portföy,Değişken,Değişken,false,true,Tümü
ARM,AK PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Ak Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
IPB,İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,İstanbul Portföy,Değişken,Değişken,true,false,Tümü
TJT,TEB PORTFÖY ALTINCI SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,TEB Portföy,Döviz,Döviz,true,true,Döviz
RBK,ALBARAKA PORTFÖY KATILIM FONU,Katılım Şemsiye Fonu,Albaraka Portföy,Para Piyasası,Para Piyasası,false,false,Tümü
DBH,DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Deniz Portföy,Borçlanma Araçları,Eurobond,true,false,Tümü
YCY,İSTANBUL PORTFÖY KATILIM FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,İstanbul Portföy,Fon Sepeti,Fon Sepeti,false,false,Tümü
ZMT,AZİMUT PORTFÖY 22.0 SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,Azimut Portföy,Döviz,Döviz,true,true,Döviz
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,Ak Portföy,Hisse Senedi,Teknoloji,true,false,Tümü
KIF,TRIVE PORTFÖY EMTİA SERBEST FON,Serbest Şemsiye Fonu,Trive Portföy,Emtia,Emtia,true,true,Tümü
EDU,İŞ PORTFÖY TEV EĞİTİME DESTEK DEĞİŞKEN FON,Değişken Şemsiye Fonu,İş Portföy,Değişken,Değişken,true,false,Tümü
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,Ak Portföy,Hisse Senedi,Hisse Senedi,true,false,Tümü
YTD,YAPI KREDİ PORTFÖY YABANCI FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Yapı Kredi Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
DSD,DENİZ PORTFÖY İKİNCİ SERBEST (DÖVİZ_AVRO) FON,Serbest Şemsiye Fonu,Deniz Portföy,Döviz,Döviz,true,true,Döviz
DSP,DENİZ PORTFÖY DENGELİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Deniz Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
TPC,TEB PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,TEB Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
IDF,İŞ PORTFÖY SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,İş Portföy,Döviz,Döviz,true,true,Döviz
ODP,OSMANLI PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,Osmanlı Portföy,Değişken,Değişken,true,true,Tümü
FI3,QNB PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,QNB Portföy,Borçlanma Araçları,Borçlanma Araçları,true,false,Tümü
OFS,OYAK PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Oyak Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
TFF,TEB PORTFÖY AMERİKA TEKNOLOJİ YABANCI BYF FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,TEB Portföy,Fon Sepeti,Teknoloji,true,false,Tümü
RBI,RE-PIE PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Re-pie Portföy,Döviz,Döviz,true,true,Döviz
KTJ,KUVEYT TÜRK PORTFÖY TEKNOLOJİ KATILIM FONU,Katılım Şemsiye Fonu,Kuveyttürk Portföy,Hisse Senedi,Teknoloji,false,false,Tümü
YPK,YAPI KREDİ PORTFÖY GALATA SERBEST FON,Serbest Şemsiye Fonu,Yapı Kredi Portföy,Değişken,Değişken,true,true,Tümü
EYT,AKTİF PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,Aktif Portföy,Fon Sepeti,Fon Sepeti,true,false,Tümü
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Ak Portföy,Değişken,Değişken,true,false,Tümü
TPZ,TEB PORTFÖY KİRA SERTİFİKALARI (DÖVİZ) KATILIM FONU,Katılım Şemsiye Fonu,TEB Portföy,Borçlanma Araçları,Kira Sertifikaları,false,false,Döviz
YZK,YAPI KREDİ PORTFÖY KALAMIŞ SERBEST FON,Serbest Şemsiye Fonu,Yapı Kredi Portföy,Değişken,Değişken,true,true,Tümü
TE4,TEB PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,TEB Portföy,Değişken,Değişken,true,false,Tümü
PSL,AZİMUT PORTFÖY 8.0 SERBEST FON,Serbest Şemsiye Fonu,Azimut Portföy,Değişken,Değişken,true,true,Tümü
YOT,YAPI KREDİ PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Yapı Kredi Portföy,Borçlanma Araçları,Borçlanma Araçları,true,false,Tümü
